season,date,runner_id,pitcher_id,catcher_id,target_base,steal_of_second,inning,late_inning,outs,balls,strikes,score_diff,close_game,runner_bats_lhb,pitcher_throws_lhp,runner_prior_sr,runner_prior_att,pitcher_prior_sr_allowed,catcher_prior_cs_rate,runner_sprint_speed,runner_sprint_speed_missing,catcher_pop_time,catcher_pop_time_missing,success
2021,2021/04/01,robel002,bundd001,stasm001,3,0,2,0,2,0,1,0,1,0,0,0.75,0,0.75,0.2,28.0,0,2.02,0,1
2021,2021/04/01,madrn001,slega001,stasm001,2,1,7,1,1,0,1,1,1,0,0,0.75,0,0.75,0.1667,28.0,0,2.02,0,0
2021,2021/04/01,contw001,kuhlc001,stalj001,2,1,3,0,0,0,1,-2,0,0,0,0.75,0,0.75,0.2,27.5,0,2.03,0,1
2021,2021/04/01,alfoa002,workb001,contw001,2,1,4,0,0,1,0,1,1,0,0,0.75,0,0.75,0.2,29.6,0,1.91,0,0
2021,2021/04/01,fowld002,workb001,contw001,3,0,4,0,1,2,2,1,1,1,0,0.75,0,0.625,0.3333,28.1,0,1.91,0,1
2021,2021/04/01,fraza001,workb001,contw001,2,1,4,0,1,2,2,1,1,1,0,0.75,0,0.6786,0.2857,27.1,0,1.91,0,1
2021,2021/04/01,alfoa002,winkd001,contw001,2,1,7,1,1,0,1,2,0,0,0,0.625,1,0.75,0.25,29.6,0,1.91,0,1
2021,2021/04/01,stort001,kersc001,barna001,2,1,1,0,2,1,2,0,1,0,1,0.75,0,0.75,0.2,28.6,0,2.06,0,0
2021,2021/04/01,owinc001,kersc001,barna001,2,1,6,0,0,0,0,1,1,0,1,0.75,0,0.625,0.3333,28.1,0,2.06,0,1
2021,2021/04/01,owinc001,alexs001,smitw003,2,1,7,1,2,1,2,4,0,0,1,0.7917,1,0.75,0.2,28.1,0,1.96,0,1
2021,2021/04/01,grosr001,biebs001,perer003,2,1,2,0,1,1,2,3,0,0,0,0.75,0,0.75,0.2,27.7,0,1.95,0,1
2021,2021/04/01,gallj002,daviw001,peres002,2,1,9,1,2,0,1,-4,0,1,0,0.75,0,0.75,0.2,27.4,0,1.97,0,1
2021,2021/04/01,alfaj002,fairp001,zunim001,2,1,8,1,2,0,0,-1,1,0,0,0.75,0,0.75,0.2,28.3,0,1.95,0,1
2021,2021/04/01,buxtb001,peraf001,narvo001,2,1,5,0,2,0,1,2,0,0,0,0.75,0,0.75,0.2,29.9,0,2.0,0,1
2021,2021/04/01,gricr001,greec003,sancg002,2,1,7,1,2,1,1,0,1,0,0,0.75,0,0.75,0.2,28.1,0,1.95,0,0
2021,2021/04/01,sancg002,romaj004,jansd001,2,1,9,1,0,0,0,0,1,0,0,0.75,0,0.75,0.2,25.5,0,1.94,0,1
2021,2021/04/01,sancg002,romaj004,jansd001,3,0,9,1,1,0,1,0,1,0,0,0.7917,1,0.7917,0.1667,25.5,0,1.94,0,1
2021,2021/04/01,laurr001,paree003,maldm001,3,0,7,1,0,0,0,-3,0,0,0,0.75,0,0.75,0.2,27.6,0,1.96,0,1
2021,2021/04/01,seguj002,martc007,darnt001,2,1,8,1,1,0,0,0,1,0,0,0.75,0,0.75,0.2,27.3,0,2.03,0,1
2021,2021/04/02,aguij001,kitta001,mejif001,2,1,8,1,0,2,2,1,1,0,0,0.75,0,0.75,0.2,24.4,0,1.94,0,1
2021,2021/04/02,tatif002,kellm002,kellc002,3,0,3,0,1,2,1,1,1,0,0,0.75,0,0.75,0.2,29.2,0,1.98,0,0
2021,2021/04/02,cronj001,kellm002,kellc002,3,0,4,0,2,0,0,3,0,1,0,0.75,0,0.625,0.3333,28.5,0,1.98,0,0
2021,2021/04/02,locat001,stamc001,campl002,2,1,7,1,2,0,0,-3,0,0,0,0.75,0,0.75,0.2,30.6,0,1.92,0,1
2021,2021/04/02,crawb001,stecd001,torrl001,3,0,7,1,2,3,0,0,1,1,0,0.75,0,0.75,0.2,25.8,0,2.0,0,1
2021,2021/04/03,ohtas001,lynnl001,collz001,2,1,5,0,2,1,1,0,1,1,0,0.75,0,0.75,0.2,28.8,0,2.02,0,1
2021,2021/04/03,gonzm002,harvm001,sevep001,2,1,2,0,1,3,2,0,1,0,0,0.75,0,0.75,0.2,26.8,0,1.97,0,1
2021,2021/04/03,baezj001,andet002,stalj001,2,1,2,0,0,0,2,-1,1,0,1,0.75,0,0.75,0.1667,28.5,0,2.03,0,1
2021,2021/04/03,baezj001,andet002,stalj001,3,0,2,0,1,0,0,-1,1,0,1,0.7917,1,0.7917,0.1429,28.5,0,2.03,0,1
2021,2021/04/03,lux-g001,givem001,nuned001,2,1,8,1,2,0,2,1,1,1,0,0.75,0,0.75,0.2,29.1,0,2.01,0,1
2021,2021/04/03,rojam002,hillr001,zunim001,3,0,1,0,0,1,0,0,1,0,1,0.75,0,0.75,0.1667,26.6,0,1.95,0,1
2021,2021/04/03,marts002,hillr001,zunim001,2,1,1,0,0,1,0,0,1,0,1,0.75,0,0.7917,0.1429,28.5,0,1.95,0,1
2021,2021/04/03,chisj001,hillr001,zunim001,2,1,4,0,1,0,0,1,1,1,1,0.75,0,0.8214,0.125,29.1,0,1.95,0,1
2021,2021/04/03,chisj001,hillr001,zunim001,3,0,4,0,1,0,0,1,1,1,1,0.7917,1,0.8438,0.1111,29.1,0,1.95,0,1
2021,2021/04/03,semim001,klubc001,sancg002,2,1,1,0,0,0,1,0,1,0,0,0.75,0,0.75,0.3333,28.6,0,1.95,0,1
2021,2021/04/03,semim001,klubc001,sancg002,2,1,3,0,1,3,2,-1,1,0,0,0.7917,1,0.7917,0.2857,28.6,0,1.95,0,1
2021,2021/04/03,moord002,webbl001,casac001,2,1,6,0,1,0,0,3,0,0,0,0.75,0,0.75,0.2,28.4,0,1.99,0,1
2021,2021/04/04,hamib001,ohtas001,stasm001,2,1,3,0,0,2,0,-2,0,0,0,0.75,0,0.75,0.2857,29.5,0,2.02,0,1
2021,2021/04/04,garcl004,slega001,stasm001,2,1,7,1,0,0,0,-1,1,0,0,0.75,0,0.625,0.25,28.4,0,2.02,0,1
2021,2021/04/04,rizza001,kellm003,perem005,2,1,3,0,1,1,1,3,0,1,0,0.75,0,0.75,0.2,25.2,0,1.96,0,1
2021,2021/04/04,bettm001,gomba001,diaze005,2,1,2,0,1,0,1,3,0,0,1,0.75,0,0.75,0.2,27.2,0,1.95,0,0
2021,2021/04/04,ramij003,skubt001,greig001,2,1,1,0,2,1,0,0,1,0,1,0.75,0,0.75,0.2,28.1,0,1.96,0,1
2021,2021/04/04,luplj001,skubt001,greig001,2,1,3,0,2,1,0,-1,1,0,1,0.75,0,0.7917,0.1667,27.5,0,1.96,0,0
2021,2021/04/04,isbek001,lylej001,heimj001,2,1,2,0,2,0,1,0,1,1,0,0.75,0,0.75,0.2,28.3,0,1.99,0,1
2021,2021/04/04,holtb002,singb001,peres002,3,0,4,0,1,0,1,3,0,1,0,0.75,0,0.75,0.1667,26.2,0,1.97,0,1
2021,2021/04/04,heimj001,singb001,peres002,2,1,4,0,1,0,1,3,0,0,0,0.75,0,0.7917,0.1429,26.0,0,1.97,0,1
2021,2021/04/04,polaj001,housa001,pinam001,2,1,3,0,2,1,2,0,1,0,0,0.75,0,0.75,0.2,27.9,0,1.94,0,0
2021,2021/04/04,keplm001,rasmd002,pinam001,2,1,6,0,1,0,0,3,0,1,0,0.75,0,0.75,0.3333,27.4,0,1.94,0,1
2021,2021/04/04,stram002,manas001,garca006,2,1,4,0,1,0,2,4,0,0,1,0.75,0,0.75,0.2,29.3,0,1.94,0,0
2021,2021/04/04,bohma001,andei001,darnt001,2,1,1,0,2,0,2,0,1,0,0,0.75,0,0.75,0.1667,27.7,0,2.03,0,1
2021,2021/04/04,phamt001,widet001,kellc002,2,1,2,0,1,0,2,-2,0,0,0,0.75,0,0.75,0.4286,27.8,0,1.98,0,1
2021,2021/04/05,marij002,willd004,narvo001,2,1,7,1,0,0,0,1,1,0,0,0.75,0,0.75,0.1667,28.8,0,2.0,0,1
2021,2021/04/05,reynb001,perec004,barnt001,2,1,6,0,2,2,1,0,1,0,1,0.75,0,0.75,0.2,28.6,0,1.99,0,0
2021,2021/04/05,albeh001,allel002,perer003,2,1,4,0,0,0,2,2,0,0,1,0.75,0,0.75,0.1667,26.8,0,1.95,0,0
2021,2021/04/05,badda001,shoem001,jeffr002,2,1,3,0,2,1,2,-6,0,1,0,0.75,0,0.75,0.2,28.8,0,2.03,0,1
2021,2021/04/05,oneit001,cimba001,alfaj002,2,1,8,1,2,0,0,3,0,0,0,0.75,0,0.75,0.2,29.6,0,1.93,0,0
2021,2021/04/05,galvf001,montj004,sancg002,2,1,3,0,2,1,0,0,1,0,1,0.75,0,0.75,0.25,25.9,0,1.95,0,1
2021,2021/04/05,profj001,desca001,poseb001,2,1,2,0,2,2,2,-1,1,0,0,0.75,0,0.75,0.2,26.2,0,2.0,0,1
2021,2021/04/05,solad001,crisn001,carav001,2,1,5,0,2,2,1,1,1,0,0,0.75,0,0.75,0.2,26.1,0,2.02,0,1
2021,2021/04/05,moord002,rodoc001,grany001,2,1,4,0,1,0,1,-4,0,0,1,0.7917,1,0.75,0.2,28.4,0,2.06,0,1
2021,2021/04/05,davij007,foltm001,trevj001,3,0,4,0,2,2,2,4,0,0,0,0.75,0,0.75,0.2,28.6,0,2.08,0,0
2021,2021/04/06,ohtas001,greiz001,maldm001,2,1,1,0,1,1,2,0,1,1,0,0.7917,1,0.75,0.1667,28.8,0,1.96,0,1
2021,2021/04/06,bogax001,glast001,zunim001,3,0,4,0,2,0,1,-1,1,0,0,0.75,0,0.75,0.1,27.7,0,1.95,0,1
2021,2021/04/06,vazqc001,glast001,zunim001,2,1,4,0,2,0,2,-1,1,0,0,0.75,0,0.7917,0.0909,25.2,0,1.95,0,1
2021,2021/04/06,adamw002,hernd004,vazqc001,2,1,8,1,1,1,1,2,0,0,1,0.75,0,0.75,0.2,28.0,0,1.98,0,0
2021,2021/04/06,contw001,peraf001,narvo001,2,1,3,0,2,1,2,-3,0,0,0,0.7917,1,0.7917,0.1429,27.5,0,2.0,0,0
2021,2021/04/06,wongk001,mapld001,contw001,2,1,8,1,2,1,0,4,0,1,0,0.75,0,0.75,0.2222,26.8,0,1.91,0,1
2021,2021/04/06,polaj001,garcb001,greig001,2,1,5,0,0,1,1,0,1,0,0,0.625,1,0.75,0.2857,27.9,0,1.96,0,1
2021,2021/04/06,edmat001,alcas001,alfaj002,2,1,1,0,1,2,2,0,1,0,0,0.75,0,0.75,0.3333,28.9,0,1.93,0,1
