runner_id,pitcher_id,catcher_id,target_base,steal_of_second,inning,late_inning,outs,balls,strikes,score_diff,close_game,runner_bats_lhb,runner_prior_sr,runner_prior_att,pitcher_prior_sr_allowed,catcher_prior_cs_rate,success
tavel001,montr004,maldm001,2,1,3,0,2,1,0,4,0,0,0.75,0,0.75,0.2,1
abrej003,smitw002,heimj001,2,1,7,1,0,1,2,4,0,0,0.75,0,0.75,0.2,1
tavel001,presr001,maldm001,2,1,8,1,2,0,1,2,0,0,0.7917,1,0.75,0.1667,1
altuj001,eovan001,heimj001,2,1,1,0,0,2,2,0,1,0,0.75,0,0.75,0.1667,1
carte001,abreb002,maldm001,2,1,8,1,0,1,0,1,1,1,0.75,0,0.75,0.1429,1
carte001,javic001,maldm001,2,1,1,0,1,1,0,1,1,1,0.7917,1,0.75,0.125,1
garca005,javic001,maldm001,2,1,1,0,1,0,0,2,0,0,0.75,0,0.7917,0.1111,1
heimj001,matop002,maldm001,2,1,1,0,2,1,2,3,0,0,0.75,0,0.75,0.1,1
mccoc001,schem001,heimj001,2,1,2,0,1,1,2,-2,0,0,0.75,0,0.75,0.1429,1
hendg002,leclj001,heimj001,2,1,9,1,0,2,1,-1,1,1,0.75,0,0.75,0.125,0
branm003,pagae001,jeffr002,2,1,8,1,0,0,1,2,0,1,0.75,0,0.75,0.2,1
polaj001,garcy001,kirka001,2,1,5,0,2,0,2,2,0,0,0.75,0,0.75,0.2,1
tavel001,glast001,pintr003,2,1,2,0,2,1,0,1,1,0,0.8214,2,0.75,0.2,1
carte001,glast001,pintr003,2,1,2,0,2,0,1,1,1,1,0.8214,2,0.7917,0.1667,1
tavel001,efliz001,pintr003,2,1,4,0,2,2,2,1,1,0,0.8438,3,0.75,0.1429,1
chapm001,sandp002,ohopl001,H,0,4,0,2,1,2,-1,1,0,0.75,0,0.75,0.2,0
urshg001,bassc001,kirka001,2,1,4,0,1,2,2,1,1,0,0.75,0,0.75,0.1667,1
bichb001,teper001,thaim001,2,1,7,1,1,0,0,-2,0,0,0.75,0,0.75,0.2,0
rengl001,bassa001,kirka001,2,1,8,1,2,1,2,4,0,0,0.75,0,0.75,0.1429,1
chapm001,loupa001,ohopl001,3,0,7,1,1,0,0,2,0,0,0.625,1,0.75,0.3333,1
merrw001,loupa001,ohopl001,2,1,7,1,1,0,0,2,0,0,0.75,0,0.7917,0.2857,1
abrac001,davit005,ohopl001,2,1,5,0,2,0,0,1,1,1,0.75,0,0.75,0.25,1
roblv001,davit005,ohopl001,2,1,7,1,2,2,0,2,0,0,0.75,0,0.7917,0.2222,1
philb002,gorem001,ruizk001,2,1,3,0,0,1,1,0,1,1,0.75,0,0.75,0.2,1
philb002,gorem001,ruizk001,3,0,3,0,1,1,0,0,1,1,0.7917,1,0.7917,0.1667,1
massm001,detmr001,wallc001,2,1,2,0,1,1,2,0,1,1,0.75,0,0.75,0.2,1
ohtas001,waldk003,langs001,2,1,1,0,2,2,2,-2,0,1,0.75,0,0.75,0.2,0
kempt001,suarj001,wallc001,2,1,2,0,0,0,0,5,0,1,0.75,0,0.75,0.1667,0
aguij001,wanta001,wallc001,2,1,8,1,1,0,2,-1,1,0,0.75,0,0.75,0.2857,1
