game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success
NYA202210220,2022/10/22,NYC21,5,1,1,2,badeh001,R,javic001,vazqc001,cabro002,10,0,2,-2,badeh001,,,0
NYA202210110,2022/10/11,NYC21,1,0,1,2,rosaa003,R,coleg001,trevj001,ramij003,12,0,0,0,rosaa003,,,1
NYA202210110,2022/10/11,NYC21,6,1,0,2,judga001,R,quanc001,hedga001,rizza001,11,2,1,1,judga001,,,1
NYA202210140,2022/10/14,NYC21,2,1,1,2,kinei001,R,biebs001,hedga001,trevj001,00,2,0,2,kinei001,,,1
NYA202210140,2022/10/14,NYC21,6,0,1,2,gimea001,L,trivl001,trevj001,hedga001,10,2,2,0,gimea001,,,1
NYA202210140,2022/10/14,NYC21,8,1,1,2,stanm004,R,karij001,hedga001,donaj001,20,2,2,0,stanm004,,,1
CLE202210160,2022/10/16,CLE08,1,0,0,2,torrg001,R,quanc001,hedga001,judga001,32,0,0,0,torrg001,,,1
CLE202210160,2022/10/16,CLE08,1,0,1,2,rizza001,L,quanc001,hedga001,stanm004,00,1,0,1,rizza001,,,0
CLE202210160,2022/10/16,CLE08,1,1,0,2,kwans001,L,coleg001,trevj001,rosaa003,02,0,1,-1,kwans001,,,1
NYA202210180,2022/10/18,NYC21,5,1,0,2,torrg001,R,stept002,hedga001,judga001,11,4,1,3,torrg001,,,1
HOU202210110,2022/10/11,HOU03,8,0,2,2,kelej001,L,browh001,vazqc001,crawj002,11,7,3,4,kelej001,,,0
SEA202210150,2022/10/15,SEA03,2,0,1,3,tuckk001,L,kirbg001,ralec001,manct001,02,0,0,0,gurry001,tuckk001,,1
SEA202210150,2022/10/15,SEA03,2,0,1,2,gurry001,R,kirbg001,ralec001,manct001,02,0,0,0,gurry001,tuckk001,,1
SEA202210150,2022/10/15,SEA03,13,1,2,2,rodrj007,R,browh001,vazqc001,frant002,01,0,0,0,rodrj007,,,1
