game_id,date,park,inning,half,outs,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
NYA202410150,2024/10/15,NYC21,5,0,1,2,ramij003,B,coleg001,R,wella002,thoml002,00,1,3,-2,ramij003,,manzk001,1,0
NYA202410150,2024/10/15,NYC21,6,1,0,3,chisj001,L,sabre001,L,hedga001,rizza001,00,3,2,1,volpa001,chisj001,,0,0
CLE202410170,2024/10/17,CLE08,2,0,1,2,trevj001,R,boydm001,L,hedga001,torrg001,10,1,0,1,trevj001,,verda001,0,0
CLE202410170,2024/10/17,CLE08,3,1,2,2,ramij003,B,schmc002,R,trevj001,thoml002,00,2,1,1,ramij003,,,1,0
CLE202410170,2024/10/17,CLE08,6,1,1,3,thoml002,R,mayzt001,L,trevj001,gimea001,20,2,1,1,,thoml002,,1,0
CLE202410170,2024/10/17,CLE08,6,1,2,3,gimea001,L,mayzt001,L,trevj001,kwans001,00,3,1,2,hedga001,gimea001,,1,0
CLE202410170,2024/10/17,CLE08,8,0,2,2,chisj001,L,clase001,R,hedga001,bertj001,00,4,3,1,chisj001,,,1,0
CLE202410180,2024/10/18,CLE08,3,1,2,2,kwans001,L,gil-l001,R,wella002,naylj001,00,1,3,-2,kwans001,,,1,0
CLE202410180,2024/10/18,CLE08,9,0,0,2,volpa001,R,clase001,R,naylb001,wella002,10,6,6,0,volpa001,,rizza001,1,0
CLE202410050,2024/10/05,CLE08,2,1,2,2,fry-d001,R,olsor001,R,rogej004,thoml002,02,5,0,5,fry-d001,,kwans001,1,0
CLE202410050,2024/10/05,CLE08,3,1,2,2,gimea001,L,olsor001,R,rogej004,roccb001,11,5,0,5,gimea001,,,1,0
DET202410100,2024/10/10,DET05,1,0,1,3,kwans001,L,olsor001,R,rogej004,naylj001,01,0,0,0,manzk001,kwans001,,1,0
CLE202410120,2024/10/12,CLE08,2,0,1,3,meadp001,L,boydm001,L,naylb001,rogej004,11,0,0,0,,meadp001,,1,0
CLE202410120,2024/10/12,CLE08,8,0,0,2,meadp001,L,clase001,R,hedga001,rogej004,01,3,6,-3,meadp001,,,1,0
NYA202410050,2024/10/05,NYC21,7,1,0,2,chisj001,L,lorem002,R,peres002,volpa001,32,5,5,0,chisj001,,,1,0
NYA202410070,2024/10/07,NYC21,2,1,2,2,volpa001,R,ragac001,L,peres002,bertj001,10,0,0,0,volpa001,,,1,0
