game_id,date,park,inning,half,outs,play_seq,target_base,runner_id,runner_bats,pitcher_id,pitcher_throws,catcher_id,batter_id,count,score_bat,score_def,score_diff,on_1b,on_2b,on_3b,success,double_steal
TOR202510120,2025/10/12,TOR02,8,0,1,62,2,arozr001,R,domis001,R,kirka001,rodrj007,00,2,1,1,arozr001,,,1,0
TOR202510120,2025/10/12,TOR02,8,0,1,63,3,arozr001,R,domis001,R,kirka001,rodrj007,10,2,1,1,,arozr001,,1,0
TOR202510130,2025/10/13,TOR02,1,0,2,7,2,naylj001,L,yesat001,R,kirka001,canzd001,10,3,0,3,naylj001,,,1,0
SEA202510150,2025/10/15,SEA03,1,1,1,7,2,arozr001,R,biebs001,R,kirka001,rodrj007,00,0,0,0,arozr001,,,1,0
SEA202510170,2025/10/17,SEA03,4,1,2,31,2,arozr001,R,gausk001,R,kirka001,crawj002,01,1,0,1,arozr001,,,1,0
NYA202510080,2025/10/08,NYC21,7,0,1,57,2,gimea001,L,willd004,R,wella002,sprig001,12,2,1,1,gimea001,,cleme002,1,0
SEA202510040,2025/10/04,SEA03,11,0,2,97,2,mckiz001,L,vargc003,R,ralec001,baezj001,00,3,2,1,mckiz001,,,1,0
SEA202510050,2025/10/05,SEA03,1,1,1,7,2,arozr001,R,skubt001,L,dingd001,rodrj007,12,0,0,0,arozr001,,,1,0
DET202510070,2025/10/07,DET05,8,0,2,69,3,roblv001,R,montk001,R,dingd001,arozr001,00,6,1,5,,roblv001,,0,0
DET202510080,2025/10/08,DET05,5,1,1,48,2,baezj001,R,speig001,L,ralec001,carpk001,01,3,3,0,baezj001,,,1,0
SEA202510100,2025/10/10,SEA03,2,1,1,14,3,naylj001,L,skubt001,L,dingd001,garvm001,11,0,0,0,,naylj001,,1,0
SEA202510100,2025/10/10,SEA03,4,0,2,27,2,keitc001,L,kirbg001,R,ralec001,mckiz001,11,0,1,-1,keitc001,,,0,0
SEA202510100,2025/10/10,SEA03,14,1,2,126,2,roblv001,R,flahj002,R,dingd001,crawj002,12,2,2,0,roblv001,,,0,0
CLE202510020,2025/10/02,CLE08,4,1,0,33,2,ramij003,B,flahj002,R,dingd001,manzk001,11,1,1,0,ramij003,,,0,0
NYA202509300,2025/09/30,NYC21,9,0,2,78,2,stort001,R,bednd001,R,wella002,brega001,11,2,1,1,stort001,,,1,0
NYA202510010,2025/10/01,NYC21,3,1,1,25,3,grist001,L,wilsj004,L,narvc002,bellc002,01,2,2,0,judga001,grist001,,1,0
ANA202504040,2025/04/04,ANA01,6,0,2,61,2,roccb001,B,detmr001,L,ohopl001,kwans001,02,6,4,2,roccb001,,ariag002,0,0
ANA202504060,2025/04/06,ANA01,1,0,1,4,3,ramij003,B,andet002,L,ohopl001,thoml002,00,0,0,0,santc002,ramij003,,1,1
ANA202504060,2025/04/06,ANA01,1,0,1,4,2,santc002,B,andet002,L,ohopl001,thoml002,00,0,0,0,santc002,ramij003,,1,1
ANA202504060,2025/04/06,ANA01,2,1,1,17,2,parik002,R,ortil003,R,hedga001,adelj001,02,1,1,0,parik002,,,1,0
ANA202504060,2025/04/06,ANA01,6,0,0,48,2,thoml002,R,zefer001,R,ohopl001,manzk001,32,2,2,0,thoml002,,,1,0
ANA202504060,2025/04/06,ANA01,7,1,2,69,2,troum001,R,junij001,R,hedga001,ohopl001,22,5,2,3,troum001,,wardt002,1,0
ANA202504190,2025/04/19,ANA01,4,0,1,25,2,chapm001,R,hendk001,R,ohopl001,wadel001,11,3,0,3,chapm001,,,1,0
ANA202504200,2025/04/20,ANA01,6,0,1,46,2,fitzt001,R,burkb001,L,ohopl001,villd001,21,1,1,0,fitzt001,,,0,0
ANA202504200,2025/04/20,ANA01,8,0,0,64,2,fitzt001,R,andei001,R,ohopl001,villd001,32,3,1,2,fitzt001,,,1,0
ANA202504230,2025/04/23,ANA01,3,0,1,18,2,cruzo001,L,kochj001,R,darnt001,mccua001,00,1,0,1,cruzo001,,,1,0
ANA202504230,2025/04/23,ANA01,9,0,0,68,2,fraza001,L,edwac001,R,darnt001,phamt001,10,2,0,2,fraza001,,,1,0
ANA202505010,2025/05/01,ANA01,3,1,1,24,2,netoz001,R,mizec001,R,dingd001,schan001,22,1,2,-1,netoz001,,,1,0
ANA202505010,2025/05/01,ANA01,9,0,1,87,2,ibana001,R,mcdag001,L,darnt001,torks001,12,8,4,4,ibana001,,,1,0
ANA202505030,2025/05/03,ANA01,1,1,1,6,2,netoz001,R,flahj002,R,dingd001,solej001,00,0,0,0,netoz001,,,1,0
ANA202505030,2025/05/03,ANA01,6,1,1,45,2,rengl001,B,flahj002,R,dingd001,campg001,22,3,0,3,rengl001,,darnt001,1,0
ANA202505060,2025/05/06,ANA01,1,1,1,9,2,netoz001,R,urenj001,R,kirka001,solej001,12,0,2,-2,netoz001,,,1,0
ANA202505060,2025/05/06,ANA01,5,1,1,43,2,parik002,R,greec003,R,kirka001,netoz001,00,2,2,0,parik002,,,0,0
ANA202505060,2025/05/06,ANA01,8,1,0,73,2,netoz001,R,garcy001,R,kirka001,schan001,10,2,3,-1,netoz001,,,1,0
ANA202505070,2025/05/07,ANA01,1,1,2,9,2,schan001,L,berrj001,R,kirka001,ohopl001,12,0,0,0,schan001,,netoz001,0,0
ANA202505080,2025/05/08,ANA01,9,0,0,87,2,cleme002,R,brogc001,R,ohopl001,luken001,00,8,5,3,cleme002,,,0,0
ANA202505110,2025/05/11,ANA01,5,0,1,36,3,mullc002,L,andet002,L,ohopl001,hendg002,10,2,2,0,,mullc002,,1,0
ANA202505110,2025/05/11,ANA01,6,0,0,47,2,laurr001,R,brogc001,R,ohopl001,hollj003,10,3,2,1,laurr001,,,1,0
ANA202505230,2025/05/23,ANA01,4,0,1,25,2,norbc001,R,kikuy001,L,darnt001,fortn001,11,0,1,-1,norbc001,,,0,0
ANA202505230,2025/05/23,ANA01,9,0,1,92,2,stowk001,L,jansk001,R,darnt001,mervm001,02,4,7,-3,stowk001,,,1,0
ANA202505240,2025/05/24,ANA01,7,0,0,63,2,lopeo001,R,danac001,R,ohopl001,stowk001,01,3,1,2,lopeo001,,,1,0
ANA202505240,2025/05/24,ANA01,7,0,2,69,2,hilld002,R,danac001,R,ohopl001,simor002,20,6,1,5,hilld002,,,1,0
ANA202505250,2025/05/25,ANA01,1,1,2,7,2,andet001,R,cabre003,R,ramia004,wardt002,11,0,0,0,andet001,,,0,0
ANA202505250,2025/05/25,ANA01,4,0,1,25,2,lopeo001,R,hendk001,R,darnt001,wagae001,02,1,0,1,lopeo001,,,1,0
ANA202505260,2025/05/26,ANA01,9,1,2,81,2,wardt002,R,weavl001,R,wella002,darnt001,00,1,5,-4,wardt002,,,1,0
ANA202505270,2025/05/27,ANA01,5,0,2,36,2,wella002,L,andet002,L,darnt001,grist001,10,1,0,1,wella002,,,1,0
ANA202505270,2025/05/27,ANA01,8,0,2,63,2,volpa001,R,detmr001,L,darnt001,lemad001,11,3,0,3,volpa001,,,0,0
ANA202505280,2025/05/28,ANA01,3,0,1,26,2,domij003,B,kikuy001,L,darnt001,lemad001,20,1,0,1,domij003,,,1,0
ANA202506060,2025/06/06,ANA01,1,1,1,6,2,netoz001,R,millb004,R,ralec001,troum001,01,0,0,0,netoz001,,,0,0
ANA202506060,2025/06/06,ANA01,3,0,2,17,2,willb004,R,hendk001,R,darnt001,crawj002,12,0,0,0,willb004,,,1,0
ANA202506060,2025/06/06,ANA01,3,1,2,23,2,taylc001,R,millb004,R,ralec001,netoz001,10,0,1,-1,taylc001,,,1,0
ANA202506060,2025/06/06,ANA01,3,1,2,25,2,netoz001,R,millb004,R,ralec001,schan001,00,1,1,0,netoz001,,,1,0
ANA202506060,2025/06/06,ANA01,4,0,0,29,3,rodrj007,R,hendk001,R,darnt001,arozr001,20,1,1,0,ralec001,rodrj007,,1,0
ANA202506060,2025/06/06,ANA01,5,0,2,44,2,ralec001,B,hendk001,R,darnt001,arozr001,00,4,3,1,ralec001,,rodrj007,1,0
ANA202506070,2025/06/07,ANA01,3,0,0,23,2,rodrj007,R,kochj001,R,ohopl001,ralec001,11,4,2,2,rodrj007,,,1,0
ANA202506070,2025/06/07,ANA01,3,0,2,26,2,arozr001,R,kochj001,R,ohopl001,tellr001,00,4,2,2,arozr001,,,1,0
ANA202506070,2025/06/07,ANA01,6,0,0,57,2,mastm001,L,nerih001,R,ohopl001,younc005,10,4,6,-2,mastm001,,,1,0
ANA202506070,2025/06/07,ANA01,6,1,2,72,2,netoz001,R,kowaj001,R,ralec001,troum001,02,7,5,2,netoz001,,adelj001,1,0
ANA202506080,2025/06/08,ANA01,5,0,1,36,2,arozr001,R,andet002,L,ohopl001,garvm001,01,1,2,-1,arozr001,,,1,0
ANA202506090,2025/06/09,ANA01,3,1,2,24,3,schan001,L,sprij001,L,maciw001,darnt001,01,3,0,3,troum001,schan001,,1,0
ANA202506090,2025/06/09,ANA01,5,0,2,36,2,muncm002,R,kikuy001,L,darnt001,urial001,01,0,4,-4,muncm002,,,1,0
ANA202506090,2025/06/09,ANA01,8,1,0,68,2,netoz001,R,fergt001,R,wynna001,schan001,21,4,2,2,netoz001,,,1,0
ANA202506100,2025/06/10,ANA01,3,1,2,22,2,netoz001,R,spenm001,R,wynna001,troum001,10,0,0,0,netoz001,,,0,0
ANA202506100,2025/06/10,ANA01,8,1,2,66,2,schan001,L,fergt001,R,wynna001,wardt002,12,1,1,0,schan001,,,1,0
ANA202506200,2025/06/20,ANA01,2,0,1,12,2,meyej002,R,kikuy001,L,darnt001,hummc001,21,2,0,2,meyej002,,,0,0
ANA202506200,2025/06/20,ANA01,10,0,1,94,3,penaj004,R,strih001,R,darnt001,diazy004,01,3,2,1,altuj001,penaj004,,0,0
ANA202506220,2025/06/22,ANA01,3,0,2,19,2,meyej002,R,hendk001,R,ohopl001,smitc010,00,0,0,0,meyej002,,,1,0
ANA202506220,2025/06/22,ANA01,5,0,2,38,2,meyej002,R,hendk001,R,ohopl001,smitc010,10,2,2,0,meyej002,,,1,0
ANA202506220,2025/06/22,ANA01,6,0,1,55,2,altuj001,R,strih001,R,ohopl001,smitc010,12,8,5,3,altuj001,,,0,0
ANA202506230,2025/06/23,ANA01,2,0,2,22,2,hamid002,L,kochj001,R,darnt001,toroa001,01,3,5,-2,hamid002,,,0,0
ANA202506230,2025/06/23,ANA01,4,0,0,35,2,rafac001,R,kochj001,R,darnt001,mayem002,01,3,5,-2,rafac001,,,1,0
ANA202506230,2025/06/23,ANA01,5,1,1,51,2,rengl001,B,guerl001,R,wongc001,moorc002,21,5,4,1,rengl001,,,0,0
ANA202506230,2025/06/23,ANA01,8,1,0,80,2,wadel001,L,whitg002,R,wongc001,rengl001,01,5,5,0,wadel001,,,1,0
ANA202506230,2025/06/23,ANA01,8,1,1,84,2,netoz001,R,whitg002,R,wongc001,schan001,11,6,5,1,netoz001,,rengl001,1,0
ANA202506240,2025/06/24,ANA01,8,1,2,70,2,netoz001,R,weisg001,R,narvc002,troum001,10,1,1,0,netoz001,,,0,0
ANA202506240,2025/06/24,ANA01,9,0,0,75,2,gonzr003,R,jansk001,R,ohopl001,narvc002,01,1,1,0,gonzr003,,,1,0
ANA202506250,2025/06/25,ANA01,8,1,0,78,2,kings001,R,alcaj001,R,narvc002,schan001,21,5,2,3,kings001,,,0,0
ANA202506270,2025/06/27,ANA01,3,0,1,20,2,abrac001,L,sorij002,R,ohopl001,woodj004,21,2,1,1,abrac001,,,1,0
ANA202506270,2025/06/27,ANA01,3,0,2,23,2,woodj004,L,sorij002,R,ohopl001,lowen001,02,2,1,1,woodj004,,abrac001,1,0
